Color,Modelo,Articulo,SKU,Descripcion Operam,Estado,Cantidad,Precio lista (sin IVA),Precio M6000 (sin IVA),Importe M6000,Precio estimado de,Inactivo
Azul cobalto,VA05,Taza 5,VA05A31112,Taza 5 azul filete azul,EXISTE,1,68.97,27.59,27.59,,
Azul cobalto,SA08,Salsera 8,SA08A3001112,Salsera 8 azul filete azul,EXISTE,1,77.59,31.03,31.03,,
Azul cobalto,VA08,Taza 8,VA08A31112,Taza 8 azul filete azul,EXISTE,1,86.21,34.48,34.48,,
Azul cobalto,TA14,Tazon 14,TA14A31112,Tazon 14 azul filete azul,EXISTE,1,107.76,43.10,43.10,,
Azul cobalto,PH20,Plato 20 hondo,PH20A3001112,Plato 20 hondo azul filete azul,EXISTE,1,172.41,68.97,68.97,,
Azul cobalto,PL14,Plato 14,PL14A3001112,Plato 14 azul filete azul,EXISTE,1,86.21,34.48,34.48,,
Azul cobalto,PL24,Plato 24,PL24A31112,Plato 24 azul filete azul,EXISTE,1,172.41,68.97,68.97,,
Azul cobalto,PL27,Plato 27,PL27A3001112,Plato 27 azul filete azul,EXISTE,1,228.45,91.38,91.38,,
Azul con manchas rosas,VA05,Taza 5,VA05A3P32112,Taza 5 azul con manchas rosas filete azul,EXISTE,1,99.14,39.66,39.66,,
Azul con manchas rosas,SA08,Salsera 8,SA08A3P32112,Salsera 8 azul con manchas rosas filete azul,EXISTE,1,107.76,43.10,43.10,,
Azul con manchas rosas,VA08,Taza 8,VA08A3P32112,Taza 8 azul con manchas rosas filete azul,EXISTE,1,116.38,46.55,46.55,,
Azul con manchas rosas,TA14,Tazon 14,TA14A3P32112,Tazon 14 azul con manchas rosas filete azul,EXISTE,1,163.79,65.52,65.52,,
Azul con manchas rosas,PH20,Plato 20 hondo,PH20A3P32112,Plato 20 hondo azul con manchas rosas filete azul,EXISTE,1,254.31,101.72,101.72,,
Azul con manchas rosas,PL14,Plato 14,PL14A3P32112,Plato 14 azul con manchas rosas filete azul,EXISTE,1,116.38,46.55,46.55,,
Azul con manchas rosas,PL24,Plato 24,PL24A3P32112,Plato 24 azul con manchas rosas filete azul,EXISTE,1,254.31,101.72,101.72,,
Azul con manchas rosas,PL27,Plato 27,PL27A3P32112,Plato 27 azul con manchas rosas filete azul,EXISTE,1,331.90,132.76,132.76,,
Blanco con manchas azules,VA05,Taza 5,VA05B1A32112,Taza 5 blanco con manchas azules filete azul,EXISTE,1,99.14,39.66,39.66,,
Blanco con manchas azules,SA08,Salsera 8,SA08B1A32112,Salsera 8 blanco con manchas azules filete azul,EXISTE,1,107.76,43.10,43.10,,
Blanco con manchas azules,VA08,Taza 8,VA08B1A32112,Taza 8 blanco con manchas azules filete azul,EXISTE,1,116.38,46.55,46.55,,
Blanco con manchas azules,TA14,Tazon 14,TA14B1A32112,Tazon 14 blanco con manchas azules filete azul,EXISTE,1,163.79,65.52,65.52,,
Blanco con manchas azules,PH20,Plato 20 hondo,PH20B1A32112,Plato 20 hondo blanco con manchas azules filete azul,EXISTE,1,254.31,101.72,101.72,,
Blanco con manchas azules,PL14,Plato 14,PL14B1A32112,Plato 14 blanco con manchas azules filete azul,EXISTE,1,116.38,46.55,46.55,,
Blanco con manchas azules,PL24,Plato 24,PL24B1A32112,Plato 24 blanco con manchas azules filete azul,EXISTE,1,254.31,101.72,101.72,,
Blanco con manchas azules,PL27,Plato 27,PL27B1A32112,Plato 27 blanco con manchas azules filete azul,EXISTE,1,331.90,132.76,132.76,,
Blanco con manchas rosas,VA05,Taza 5,VA05B1P32120,Taza 5 blanco con manchas rosas s/filetes,EXISTE,1,99.14,39.66,39.66,,
Blanco con manchas rosas,SA08,Salsera 8,SA08B1P32120,Salsera 8 blanco con manchas rosas s/filetes,EXISTE,1,107.76,43.10,43.10,,
Blanco con manchas rosas,VA08,Taza 8,VA08B1P32120,Taza 8 blanco con manchas rosas s/filetes,EXISTE,1,116.38,46.55,46.55,,
Blanco con manchas rosas,TA14,Tazon 14,TA14B1P32120,Tazon 14 blanco con manchas rosas s/filetes,EXISTE,1,163.79,65.52,65.52,,
Blanco con manchas rosas,PH20,Plato 20 hondo,PH20B1P32120,Plato 20 hondo blanco con manchas rosas s/filetes,EXISTE,1,254.31,101.72,101.72,,
Blanco con manchas rosas,PL14,Plato 14,PL14B1P32120,Plato 14 blanco con manchas rosas s/filetes,EXISTE,1,116.38,46.55,46.55,,
Blanco con manchas rosas,PL24,Plato 24,PL24B1P32120,Plato 24 blanco con manchas rosas s/filetes,EXISTE,1,254.31,101.72,101.72,,
Blanco con manchas rosas,PL27,Plato 27,PL27B1P32120,Plato 27 blanco con manchas rosas s/filetes,EXISTE,1,331.90,132.76,132.76,,
Blanco filete azul,VA05,Taza 5,VA05B1001112,Taza 5 blanco filete azul,EXISTE,1,68.97,27.59,27.59,,
Blanco filete azul,SA08,Salsera 8,SA08B11112,Salsera 8 blanco filete azul,EXISTE,1,77.59,31.03,31.03,,
Blanco filete azul,VA08,Taza 8,VA08B1001112,Taza 8 blanco filete azul,EXISTE,1,86.21,34.48,34.48,,
Blanco filete azul,TA14,Tazon 14,TA14B11112,Tazon 14 blanco filete azul,EXISTE,1,107.76,43.10,43.10,,
